,census_tract,population,female_population,median_household_income,0_to_9_years_old,10_to_19_years_old,20_to_29_years_old,30_to_39_years_old,40_to_49_years_old,50_to_59_years_old,60_to_69_years_old,70_to_79_years_old,80_years_old_and_older,total_households,households_whose_annual_income_less_than_10000_dollars,households_whose_annual_income_between_10000_and_50000_dollars,households_whose_annual_income_between_50000_and_200000_dollars,households_whose_annual_income_greater_than_200000_dollars,total_workforce,workforce_in_labor,healthcare_worker,commuting_by_car_or_truck_or_van,commuting_by_public_transportation_except_taxicabs,commuting_by_walk,commuting_by_taxicab_or_motorcycle_or_bicycle_or_other_means,commuting_time_less_than_20_minutes,commuting_time_between_20_and_60_minutes,commuting_time_over_60_minutes,white,black_or_african_american,american_indian_and_alaska_native,asian,non_hispanic_white,hispanic_or_latino,no_schooling_completed,high_schooling_graduate,bachelor's_degree,occupied_housing_units,owner_occupied_housing_units,no_health_insurance_covered
1022,48113000605,2582,1226,,79.0,16.0,643.0,512.0,414.0,389.0,299.0,152.0,78.0,1738.0,112.0,396.0,1001.0,229.0,2487.0,1957.0,347.0,1551.0,65.0,8.0,127.0,793.0,880.0,78.0,1979.0,70.0,21.0,203.0,1704.0,473.0,0.0,150.0,1034.0,3975.0,3981.0,246.0
1023,48439111204,5190,2737,,801.0,698.0,458.0,684.0,556.0,875.0,610.0,385.0,123.0,1808.0,38.0,609.0,1007.0,154.0,3950.0,2548.0,225.0,2118.0,0.0,0.0,31.0,574.0,1300.0,275.0,4955.0,180.0,0.0,18.0,4391.0,601.0,0.0,1027.0,725.0,3990.0,3990.0,634.0
1024,48113009201,6692,3361,,1173.0,1029.0,958.0,826.0,948.0,890.0,518.0,259.0,91.0,1958.0,240.0,1048.0,652.0,18.0,4931.0,2951.0,191.0,2470.0,54.0,44.0,33.0,983.0,1180.0,438.0,4941.0,1230.0,0.0,9.0,704.0,4736.0,180.0,1400.0,115.0,9789.0,9787.0,2316.0
1025,48439104605,4644,2271,,553.0,914.0,455.0,636.0,648.0,624.0,342.0,286.0,186.0,1539.0,247.0,792.0,500.0,0.0,3600.0,1879.0,142.0,1533.0,19.0,17.0,20.0,628.0,749.0,212.0,1516.0,2490.0,4.0,64.0,213.0,1823.0,147.0,889.0,225.0,7841.0,7833.0,1268.0
1026,48113012604,6842,3542,,1516.0,602.0,1880.0,1164.0,638.0,528.0,335.0,42.0,137.0,2653.0,163.0,1754.0,705.0,31.0,4930.0,3577.0,425.0,2912.0,101.0,61.0,15.0,993.0,1795.0,301.0,3447.0,2014.0,0.0,231.0,1572.0,2814.0,227.0,1042.0,483.0,3962.0,1969.0,2301.0
1027,48439110906,4672,2507,,612.0,566.0,454.0,617.0,549.0,723.0,566.0,386.0,199.0,1637.0,48.0,450.0,1132.0,7.0,3672.0,2363.0,285.0,2095.0,7.0,11.0,38.0,1050.0,867.0,234.0,4138.0,107.0,46.0,112.0,3591.0,735.0,25.0,1191.0,470.0,7881.0,7873.0,1003.0
1028,48113019204,9240,4601,,1542.0,1484.0,1760.0,1455.0,1276.0,889.0,477.0,214.0,143.0,2726.0,14.0,1056.0,1606.0,50.0,7041.0,5632.0,507.0,4397.0,48.0,188.0,9.0,2079.0,2325.0,238.0,7082.0,1206.0,0.0,213.0,3193.0,4532.0,26.0,1206.0,1458.0,11801.0,7850.0,3396.0
1029,48113016621,5970,3085,,1122.0,1126.0,532.0,992.0,709.0,730.0,603.0,57.0,99.0,1956.0,157.0,711.0,1078.0,10.0,4082.0,2927.0,291.0,2353.0,13.0,73.0,0.0,625.0,1535.0,279.0,1804.0,3728.0,95.0,0.0,624.0,1539.0,39.0,1081.0,273.0,5991.0,6003.0,814.0
1030,48085030100,6469,3246,,953.0,904.0,745.0,661.0,897.0,1066.0,757.0,323.0,163.0,2106.0,134.0,664.0,1254.0,54.0,4960.0,3040.0,188.0,2665.0,0.0,14.0,16.0,508.0,1604.0,583.0,6241.0,73.0,59.0,29.0,5805.0,460.0,10.0,1592.0,606.0,5981.0,5984.0,1076.0
1031,48439103800,3011,1653,,536.0,628.0,358.0,408.0,272.0,314.0,217.0,86.0,192.0,1033.0,368.0,590.0,68.0,7.0,2020.0,730.0,98.0,549.0,39.0,0.0,24.0,299.0,284.0,29.0,676.0,1829.0,22.0,171.0,225.0,750.0,79.0,688.0,41.0,3920.0,3908.0,929.0
